Source,Target
a,railing
a,secret
a,were
a,trouble
a,from
a,seed
a,"where,"
a,produce
a,huge
a,coquettish
a,sprinkling
a,"known,"
a,"weed,”"
a,horror
a,"plant,”"
a,under
a,glass
a,cough
a,flock
a,chimney
a,cold
a,flower”
a,proud
a,king
a,"throne,"
a,"subject,”"
a,find
a,place
a,"king,”"
a,sputtered
a,"little,"
a,ordered
a,"general,”"
a,general
a,sea
a,now
a,timid
a,fold
a,question”
a,"question,”"
a,"gesture,"
a,thing
a,even
a,"hundred,"
a,felt
a,bit
a,favour
a,"butterfly,"
a,write
a,tragic
a,forgot
a,consulted
a,bulky
a,be
a,having
a,subject
a,Minister”
a,complete
a,carriage
a,indeed
a,man
a,reasonable
a,hesitated
a,"sigh,"
a,conceited
a,receive
a,visit
a,modest
a,tippler
a,before
a,collection
a,also
a,lugubrious
a,to
a,businessman
a,seen
a,“reasons
a,diamond
a,out
a,patent
a,owned
a,silk
a,drawer
a,key”
a,own
a,"flower,”"
a,street
a,lamplighter
a,"lamplighter,"
a,"planet,"
a,handkerchief
a,follow
a,terrible
a,makes
a,together
a,month
a,"“Yes,"
a,way
a,breathed
a,sigh
a,panted
a,"geographer,”"
a,geographer”
a,scholar
a,real
a,cast
a,look
a,haven’t
a,large
a,that
a,mountain
a,good
a,"continents,"
a,veritable
a,slight
a,splendid
a,mistake
a,twice
a,year
a,wanders
a,giving
a,false
a,occupy
a,small
a,fill
a,coil
a,"stone,"
a,funny
a,finger”
a,golden
a,star”
a,"petals,"
a,caravan
a,climbed
a,high
a,footstool
a,“From
a,“What
a,road
a,"garden,"
a,common
a,"fox,”"
a,hundred
a,fox
a,step
a,"friend,"
a,sit
a,rite”
a,"rite,"
a,wonderful
a,take
a,walk
a,present
a,secret”
a,"secret,"
a,"thousand,”"
a,brilliantly
a,roar
a,third
a,over
a,rag
a,merchant
a,pill
a,"week,"
a,save
a,tremendous
a,toward
a,spring
a,longer
a,friend”
a,well”
a,gesture
a,"well,"
a,dream
a,after
a,hides
a,sudden
a,treasure
a,hiding
a,carrying
a,but
a,shell
a,"half-smile,"
a,rose
a,"lamp,"
a,flame
a,well
a,village
a,different
a,"know,"
a,pencil
a,"silence,"
a,"alone,"
a,weeping
a,"wall,"
a,silence
a,running
a,"fountain,"
a,dying
a,sad
a,waited
a,"Earth,"
a,love
a,"star,"
a,present”
a,But
a,thought
a,making
a,sound
a,quick
a,rusty
a,flash
a,tree
a,comforted
a,heavy
a,eaten
a,"time,"
a,if
magnificent,picture
magnificent,career
magnificent,as
magnificent,and
magnificent,king’s
magnificent,ermine
magnificent,with
magnificent,simplicity
magnificent,air
magnificent,most
magnificent,be
magnificent,Only
picture,in
picture,of
in,constrictor
in,the
in,succeeded
in,making
in,lost
in,plane
in,broken
in,my
in,raft
in,me
in,head
in,astonishment
in,crashed
in,And
in,answer
in,and
in,danger
in,light
in,himself
in,that
in,addition
in,"astronomer,"
in,1909
in,"Congress,"
in,Turkish
in,So
in,1920
in,geraniums
in,you
in,peace
in,story
in,grief
in,setting
in,interested
in,anything
in,"too,"
in,height
in,one
in,another
in,"learn,"
in,our
in,this
in,deep
in,it
in,pieces
in,toilet
in,closely
in,their
in,harm
in,putting
in,drawing
in,entertainment
in,noon
in,France
in,finds
in,its
in,stuck
in,hammer
in,curls
in,his
in,unique
in,destroy
in,grows
in,all
in,"flower,"
in,him
in,not
in,hand
in,appear
in,beauty
in,only
in,come
in,"times,"
in,order
in,prince
in,"prince,"
in,spite
in,pleasure
in,planet
in,perfect
in,breakfast
in,fires
in,arrested
in,mid-air
in,"them,"
in,Clad
in,royal
in,yawn
in,gathered
in,took
in,times
in,be
in,up
in,revolution
in,succeed
in,j
in,raise
in,salute
in,hat
in,there
in,down
in,silence
in,an
in,never
in,mistakes
in,left
in,sees
in,dreaming
in,matters
in,them
in,paper
in,say
in,somewhere
in,out
in,"seek,"
in,other
in,always
in,love
in,life
in,explorers
in,mountains
in,discovery
in,question
in,first
in,pencil
in,ink
in,is
in,flower
in,ballet
in,steps
in,mistake
in,charge
in,honest
in,what
in,confidence
in,people
in,alight
in,heaven
in,lonely
in,speak
in,riddles”
in,existence
in,kind
in,"alike,"
in,"And,"
in,"consequence,"
in,wind
in,"that,"
in,o’clock
in,But
in,herself
in,"travellers,"
in,bundles
in,are
in,"by,"
in,asleep
in,"there,"
in,minutes
in,every
in,accident
in,repairing
in,"random,"
in,"hours,"
in,"silence,"
in,were
in,us
in,lived
in,secret
in,trembled
in,way
in,express
in,dug
in,well
in,still
in,shimmer
in,roses
in,find
in,found
in,or
in,"begins,"
in,stopped
in,"and,"
in,no
in,just
in,time
in,man
in,close
in,water
in,stars
in,lights
in,"if,"
in,place
in,catching
in,sweetness
in,"noise,"
in,nothing
in,landscape
in,case
"book,",called
called,True
called,king
called,"out,"
True,Stories
Stories,from
from,"Nature,"
from,whether
from,the
from,China
from,Arizona
from,miles
from,any
from,boas
from,fainting
from,fatigue
from,constrictor
from,came
from,The
from,words
from,down
from,come
from,another
from,eyes
from,my
from,very
from,What
from,planet
from,which
from,Only
from,these
from,is
from,peace
from,their
from,away
from,"me,"
from,departure
from,"it,"
from,fall
from,his
from,seeds
from,good
from,bad
from,distinguished
from,right
from,noon
from,turned
from,white
from,drop
from,"day,"
from,blown
from,no
from,emerge
from,it
from,suffer
from,remorse
from,inseparable
from,her
from,inquiry
from,fly
from,one
from,require
from,each
from,visit
from,an
from,exclaimed
from,"afar,"
from,fell
from,goodness
from,stars
from,heaven”
from,different
from,those
from,back
from,it”
from,far
from,Seen
from,free
from,toil
from,little
from,earth
from,whence
from,all
from,distance
from,other
from,hour
from,"them,"
from,thing
from,ordinary
from,constrictors
from,some
from,metres
from,abyss
from,me
"Nature,",about
about,the
about,person
about,boa
about,him
about,"bridge,"
about,Nothing
about,half-confidence
about,good
about,details
about,questions
about,essential
about,anything
about,doubts
about,something
about,"day,"
about,be
about,about
about,that
about,evening
about,twenty
about,am
about,to
about,talking
about,“Clap
about,loafing
about,He
about,"say,"
about,"2,000,000,000"
about,you
about,jumping
about,is
about,"deeply,"
about,this
about,know
about,that”
about,doubt
about,sad
the,primeval
the,act
the,of
the,drawing
the,In
the,book
the,through
the,over
the,adventures
the,jungle
the,to
the,"grown-ups,"
the,whether
the,since
the,grown-
the,drew
the,inside
the,boa
the,that
the,grown-ups
the,or
the,"outside,"
the,at
the,age
the,by
the,failure
the,world
the,"night,"
the,course
the,tried
the,experiment
the,And
the,grown-up
the,Desert
the,attempt
the,difficult
the,on
the,"sand,"
the,middle
the,ocean
the,see
the,best
the,outside
the,desert
the,among
the,"sands,"
the,"desert,"
the,told
the,little
the,two
the,hear
the,like
the,others
the,face
the,exactly
the,way
the,made
the,acquaintance
the,ones
the,sky”
the,sky
the,impenetrable
the,contemplation
the,“other
the,box
the,during
the,"day,"
the,But
the,Then
the,planet
the,great
the,as
the,"Earth,"
the,telescope
the,which
the,is
the,asteroid
the,"discovery,"
the,astronomer
the,International
the,for
the,reputation
the,1920
the,"asteroid,"
the,windows
the,"roof,”"
the,fashion
the,fairy-tales
the,and
the,"inside,"
the,colour
the,walls
the,third
the,catastrophe
the,baobabs
the,had
the,sheep
the,For
the,"contrary,"
the,"him,"
the,herd
the,"other,”"
the,"big,"
the,want
the,eat
the,where
the,heart
the,earth’s
the,with
the,desire
the,toward
the,sun
the,sprig
the,"possible,"
the,very
the,home
the,were
the,seeds
the,baobab
the,entire
the,if
the,"discipline,”"
the,"morning,"
the,toilet
the,greatest
the,all
the,"baobabs,"
the,"rosebushes,"
the,"work,”"
the,children
the,take
the,tone
the,danger
the,baobabs”
the,trouble
the,inspiring
the,understand
the,secrets
the,quiet
the,sunset
the,morning
the,fourth
the,“For
the,United
the,States
the,into
the,"sunset,"
the,day
the,twilight
the,loves
the,“on
the,forty-four
the,On
the,fifth
the,"sheep,"
the,secret
the,question
the,“Then
the,"thorns,"
the,breakdown
the,worst
the,first
the,hammer”
the,Again
the,flowers”
the,grown-ups”
the,breeze
the,just
the,same
the,why
the,flowers
the,Is
the,warfare
the,between
the,"world,"
the,millions
the,stars
the,eats
the,"flower,"
the,"planet,"
the,"place,"
the,land
the,"grass,"
the,flower
the,complete
the,preparations
the,shelter
the,field
the,full
the,not”
the,sun”
the,have
the,kindness
the,tended
the,truth
the,“Let
the,tigers
the,"planet,”"
the,"weed,”"
the,remarked
the,place
the,form
the,verge
the,put
the,wrong
the,So
the,good
the,affection
the,migration
the,out
the,extinct
the,"dejection,"
the,last
the,watered
the,under
the,"bewildered,"
the,glass
the,"you,”"
the,while
the,let
the,“But
the,wind”
the,cool
the,animals”
the,endure
the,presence
the,butterflies
the,not
the,caterpillars
the,large
the,neighbourhood
the,asteroids
the,exclaimed
the,"king,"
the,how
the,said
the,but
the,king’s
the,"king,”"
the,monarch
the,replied
the,"then,”"
the,king
the,murmured
the,what
the,general
the,be
the,fault
the,"so,”"
the,"question,”"
the,other
the,asked
the,"that,”"
the,“And
the,"do,”"
the,watch
the,ask
the,Order
the,order
the,wrong”
the,one
the,duty
the,"perform,”"
the,"sea,"
the,right
the,sunset”
the,inquired
the,"yourself,”"
the,most
the,only
the,grieve
the,end
the,As
the,"answer,"
the,"Ambassador,”"
the,"strange,”"
the,"salutes,”"
the,conceited
the,against
the,than
the,visit
the,exercise
the,game’s
the,make
the,hat
the,"handsomest,"
the,"best-dressed,"
the,"richest,"
the,are
the,same”
the,plunged
the,"tippler,"
the,demanded
the,tippler
the,"ashamed,”"
the,insisted
the,"morning,”"
the,repeated
the,“During
the,fifty-four
the,mean
the,stars”
the,own
the,me
the,"man,”"
the,belong”
the,businessman
the,"stars,"
the,pluck
the,bank”
the,write
the,number
the,thought
the,"consequence,"
the,"businessman,"
the,smallest
the,use
the,"heavens,"
the,"man,"
the,sends
the,"star,"
the,saluted
the,lamplighter
the,"orders,”"
the,orders”
the,lamp
the,evening
the,rest
the,night
the,orders
the,tragedy
the,year
the,remembered
the,"sunsets,"
the,"sunshine,"
the,What
the,table
the,from”
the,"geographer,”"
the,knows
the,location
the,"seas,"
the,geographer
the,"“Exactly,”"
the,count
the,"towns,"
the,"rivers,"
the,"mountains,"
the,"oceans,"
the,deserts
the,receives
the,explorers
the,recollections
the,books
the,moral
the,explorer
the,requires
the,discovery
the,"register,"
the,until
the,"geographer,"
the,“are
the,"again,”"
the,mountain
the,"ephemeral,”"
the,then
the,seventh
the,Earth
the,"sure,"
the,Negro
the,size
the,before
the,invention
the,whole
the,street
the,ballet
the,opera
the,come
the,turn
the,lamplighters
the,"Next,"
the,"dance,"
the,wings
the,Indies
the,upon
the,stage
the,Only
the,man
the,single
the,North
the,South
the,play
the,"wit,"
the,run
the,risk
the,If
the,When
the,"gold,"
the,"moonlight,"
the,across
the,sand
the,snake
the,"Africa,”"
the,Earth”
the,“whether
the,"beautiful,”"
the,men”
the,up
the,conversation
the,desert”
the,"men,”"
the,finger
the,around
the,earth
the,"came,”"
the,"granite,”"
the,crossed
the,"that,"
the,three
the,used
the,people”
the,answered
the,echo
the,people
the,"snow,"
the,abodes
the,roses
the,"roses,”"
the,universe
the,grass
the,fox
the,"here,”"
the,voice
the,“under
the,apple
the,proposed
the,world”
the,“On
the,sighed
the,"monotonous,”"
the,All
the,chickens
the,men
the,know
the,sound
the,underneath
the,ground
the,grain-fields
the,back
the,wind
the,wheat”
the,"much,”"
the,understands
the,things
the,shops
the,corner
the,source
the,"afternoon,"
the,hour
the,observe
the,proper
the,village
the,vineyards
the,hunters
the,tamed
the,"fox,"
the,wheat
the,"you,"
the,rose
the,hundreds
the,behind
the,screen
the,killed
the,(except
the,meet
the,eye”
the,"eye,”"
the,time
the,"rose,”"
the,railway
the,here”
the,switchman
the,off
the,trains
the,"right,"
the,left”
the,shook
the,switchman’s
the,even
the,locomotive
the,opposite
the,heard
the,roaring
the,pursuing
the,windowpanes”
the,“Only
the,"lucky,”"
the,merchant
the,now
the,eighth
the,story
the,drinking
the,friend
the,fox”
the,guessing
the,"danger,”"
the,immensity
the,"silence,"
the,darkness
the,heart”
the,ridges
the,moonlight
the,loved
the,silence
the,makes
the,sands
the,depths
the,"house,"
the,"wind,"
the,suspicious
the,image
the,flame
the,felt
the,need
the,found
the,"well,"
the,worth
the,trouble”
the,wells
the,Sahara
the,"pulley,"
the,"bucket,"
the,rope”
the,touched
the,"rope,"
the,set
the,pulley
the,wakened
the,rope
the,hoisted
the,bucket
the,edge
the,well
the,sunlight
the,still
the,raised
the,walk
the,song
the,effort
the,"heart,"
the,"boy,"
the,lights
the,Christmas
the,"tree,"
the,music
the,Midnight
the,"Mass,"
the,tenderness
the,"so,"
the,radiance
the,gifts
the,eyes
the,drunk
the,water
the,sunrise
the,inside”
the,your
the,anniversary”
the,runs
the,Beside
the,ruin
the,"work,"
the,next
the,exact
the,place”
the,wall
the,"wall,"
the,wall”
the,foot
the,air
the,facing
the,noise
the,"made,"
the,dying
the,stones
the,reached
the,loosened
the,golden
the,matter
the,sheep’s
the,muzzle”
the,sense
the,bear
the,above
the,"snake,"
the,meeting-
the,star”
the,thing
the,heavens
the,drank
the,water”
the,"stars,”"
the,"travellers,"
the,"‘Yes,"
the,hand
the,muzzle
the,add
the,leather
the,Perhaps
the,eaten
the,laughter
the,forgot
the,night”
the,love
the,Has
the,"me,"
the,loveliest
the,preceding
the,African
the,star
primeval,forest
primeval,or
primeval,"forests,"
forest,It
It,One
It,looked
It,hat
It,alone
It,voice
It,said
It,often
It,ram
It,has
It,prince
It,took
It,him
It,object
It,flies
It,is
It,air-plane
It,figures
It,pencils
It,thoughts
It,late
It,spreads
It,planet
It,bores
It,youth
It,more
It,"might,"
It,poppies
It,globe
It,butterflies
It,seems
It,yawn
It,again
It,general
It,would
It,all
It,minute
It,over
It,them
It,knows)
It,strange
It,one
It,geographer
It,interesting
It,old-fashioned
It,position
It,mountain
It,does
It,stage
It,task
It,flower
It,cried
It,hunt
It,fox
It,means
It,secret
It,water”
It,weariness
It,stirred
It,seemed
It,treasure
It,closed
It,arms
It,yes
It,found
It,that
It,will
It,crazy
It,dying
It,me
It,daybreak
It,stars
It,world
It,memory
of,act
of,swallowing
of,copy
of,adventures
of,inside
of,drawings
of,boa
of,age
of,"six,"
of,failure
of,my
of,parts
of,course
of,this
of,matters
of,consequence
of,opinion
of,them
of,one
of,experiment
of,showing
of,person
of,true
of,Desert
of,"Sahara,"
of,question
of,life
of,middle
of,make
of,him
of,out
of,suggestion
of,speaking
of,matter
of,great
of,danger
of,"death,"
of,sheet
of,paper
of,that
of,face
of,deal
of,grass”
of,acquaintance
of,peal
of,"laughter,"
of,gleam
of,light
of,mystery
of,his
of,contemplation
of,"live,’"
of,which
of,laughter
of,ahead
of,him”
of,hint
of,"sadness,"
of,"him,"
of,fact
of,hundreds
of,"others,"
of,some
of,these
of,reputation
of,Asteroid
of,pain
of,note
of,its
of,account
of,made
of,rosy
of,idea
of,indifference
of,fashion
of,need
of,air
of,truth
of,box
of,paints
of,those
of,sure
of,success
of,colour
of,walls
of,boxes
of,catastrophe
of,herd
of,elephants
of,top
of,something
of,heart
of,sprout
of,radish
of,sprig
of,home
of,seeds
of,soil
of,rid
of,if
of,"discipline,”"
of,toilet
of,your
of,piece
of,work
of,"baobabs,"
of,drawing
of,tone
of,force
of,urgent
of,secrets
of,pleasure
of,looking
of,morning
of,fond
of,sunsets
of,day
of,secret
of,born
of,long
of,breakdown
of,go
of,are
of,no
of,moment
of,complete
of,kind
of,resentfulness
of,consequence”
of,“Matters
of,consequence’
of,millions
of,never
of,any
of,not
of,more
of,"flower,"
of,"stars,"
of,land
of,tears
of,ring
of,petals
of,baobab
of,appearance
of,sort
of,miraculous
of,shelter
of,her
of,radiance
of,think
of,can
of,fresh
of,afraid
of,"tigers,”"
of,horror
of,drafts
of,"drafts,"
of,form
of,anything
of,verge
of,such
of,spite
of,all
of,tale
of,"claws,"
of,advantage
of,migration
of,flock
of,wild
of,end
of,trouble
of,sense
of,"dejection,"
of,shoots
of,absence
of,reproaches
of,is
of,presence
of,two
of,neighbourhood
of,first
of,proud
of,being
of,objects
of,curiosity
of,way
of,"example,"
of,fault
of,fold
of,master
of,us
of,science
of,"government,"
of,having
of,“Minister
of,what”
of,tour
of,side
of,thing
of,man
of,authority
of,minutes
of,tired
of,demanded
of,collection
of,empty
of,full
of,“Ashamed
of,drinking”
of,attack
of,rheumatism
of,“Millions
of,hope
of,stars”
of,good
of,making
of,it”
of,thought
of,owning
of,number
of,"consequence,"
of,smallest
of,explanation
of,use
of,rest
of,thinking
of,sigh
of,"regret,"
of,most
of,location
of,planet
of,recall
of,their
of,recollections
of,books
of,character
of,recitals
of,explorers
of,"which,"
of,itself
of,write
of,eternal
of,speedy
of,regret
of,size
of,invention
of,electricity
of,whole
of,army
of,"462,511"
of,movements
of,turn
of,lamplighters
of,New
of,China
of,Russia
of,Africa
of,South
of,North
of,order
of,charge
of,risk
of,giving
of,our
of,space
of,coil
of,"gold,"
of,finger
of,"granite,”"
of,flower
of,seven
of,peaks
of,rock
of,abodes
of,men
of,thousand
of,"them,"
of,you
of,me
of,sorts
of,things”
of,sound
of,gold
of,corner
of,source
of,misunderstandings
of,hour
of,harm
of,“because
of,present
of,bundles
of,thunder
of,amount
of,"time,”"
of,spring
of,story
of,drop
of,memories
of,yours
of,die
of,thirst”
of,guessing
of,gesture
of,weariness
of,immensity
of,because
of,ridges
of,sand
of,understanding
of,radiation
of,depths
of,locks
of,hair
of,suspicious
of,image
of,flame
of,protecting
of,puff
of,wind
of,wells
of,edge
of,song
of,it
of,effort
of,lights
of,music
of,tenderness
of,smiling
of,honey
of,grief
of,sketch
of,sorrow
of,weeping
of,ruin
of,an
of,foot
of,spray
of,affair
of,Because
of,place
of,little
of,wrong
of,springs
of,"thorns,"
of,flash
of,yellow
of,so
boa,constrictor
boa,"constrictor,"
boa,"constrictors,"
boa,A
boa,except
boa,constrictors
boa,and
constrictor,digesting
constrictor,A
constrictor,is
act,an
act,too
swallowing,an
an,animal
an,digesting
an,elephant
an,had
an,accident
an,by
an,odd
an,want
an,and
an,out
an,explanation
an,not
an,object
an,is
an,air-plane
an,When
an,astronomer
an,on
an,"asteroid,"
an,over
an,added
an,instant
an,such
an,"untruth,"
an,order”
an,absolute
an,admirer”
an,to
an,"end,"
an,impregnable
an,attack
an,discover
an,island
an,get
an,idea
an,explorer”
an,explorer
an,orders
an,inquiry
an,“Because
an,would
an,"good,"
an,are
an,that
an,ocean
an,just
an,ordinary
an,you
an,"sure,"
an,exchange”
an,cast
an,enchantment
an,like
an,end
an,toward
an,abyss
an,for
animal,Here
Here,is
Here,seriousness
Here,you
Here,“Ah
Here,look
is,That
is,"why,"
is,it
is,tiresome
is,true
is,knowledge
is,valuable
is,“That
is,drawing
is,certainly
is,"however,"
is,not
is,mystery
is,too
is,elephant
is,very
is,everything
is,need
is,sheep
is,already
is,this
is,This
is,one
is,“This
is,only
is,for
is,inside”
is,exactly
is,“It
is,that
is,how
is,“What
is,my
is,funny”
is,Which
